EMC,Location,Analyte,Flow,Run
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,260
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,261
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,261
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,261
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,261
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,261
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,261
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,261
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,261
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,261
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,261
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,261
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,261
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,261
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,261
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,261
0.09099999815225601,-1693589722_FL,Phosphorus,Outflow,262
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,262
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,262
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,262
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,262
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,262
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,262
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,262
0.07100000232458115,-1693589722_FL,Phosphorus,Outflow,262
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,262
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,262
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,262
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,262
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,262
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,262
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,263
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,263
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,263
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,263
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,263
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,263
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,263
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,263
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,263
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,263
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,263
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,263
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,263
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,263
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,263
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,264
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,264
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,264
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,264
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,264
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,264
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,264
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,264
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,264
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,264
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,264
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,264
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,264
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,264
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,264
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,265
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,265
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,265
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,265
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,265
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,265
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,265
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,265
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,265
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,265
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,265
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,265
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,265
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,265
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,265
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,266
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,266
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,266
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,266
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,266
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,266
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,266
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,266
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,266
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,266
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,266
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,266
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,266
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,266
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,266
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,267
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,267
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,267
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,267
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,267
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,267
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,267
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,267
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,267
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,267
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,267
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,267
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,267
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,267
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,267
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,268
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,268
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,268
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,268
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,268
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,268
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,268
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,268
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,268
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,268
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,268
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,268
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,268
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,268
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,268
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,269
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,269
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,269
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,269
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,269
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,269
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,269
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,269
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,269
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,269
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,269
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,269
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,269
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,269
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,269
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,270
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,270
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,270
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,270
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,270
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,270
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,270
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,270
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,270
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,270
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,270
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,270
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,270
0.125,-1693589722_FL,Phosphorus,Outflow,270
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,270
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,271
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,271
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,271
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,271
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,271
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,271
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,271
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,271
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,271
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,271
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,271
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,271
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,271
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,271
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,271
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,272
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,272
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,272
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,272
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,272
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,272
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,272
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,272
0.07100000232458115,-1693589722_FL,Phosphorus,Outflow,272
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,272
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,272
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,272
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,272
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,272
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,272
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,273
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,273
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,273
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,273
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,273
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,273
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,273
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,273
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,273
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,273
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,273
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,273
0.07100000232458115,-1693589722_FL,Phosphorus,Outflow,273
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,273
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,273
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,274
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,274
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,274
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,274
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,274
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,274
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,274
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,274
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,274
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,274
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,274
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,274
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,274
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,274
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,274
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,275
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,275
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,275
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,275
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,275
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,275
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,275
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,275
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,275
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,275
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,275
0.02400000020861626,-1693589722_FL,Phosphorus,Outflow,275
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,275
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,275
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,275
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,276
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,276
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,276
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,276
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,276
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,276
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,276
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,276
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,276
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,276
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,276
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,276
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,276
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,276
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,276
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,277
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,277
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,277
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,277
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,277
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,277
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,277
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,277
0.02400000020861626,-1693589722_FL,Phosphorus,Outflow,277
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,277
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,277
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,277
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,277
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,277
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,277
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,278
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,278
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,278
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,278
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,278
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,278
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,278
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,278
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,278
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,278
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,278
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,278
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,278
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,278
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,278
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,279
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,279
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,279
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,279
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,279
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,279
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,279
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,279
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,279
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,279
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,279
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,279
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,279
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,279
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,279
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,280
0.09099999815225601,-1693589722_FL,Phosphorus,Outflow,280
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,280
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,280
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,280
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,280
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,280
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,280
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,280
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,280
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,280
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,280
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,280
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,280
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,280
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,281
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,281
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,281
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,281
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,281
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,281
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,281
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,281
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,281
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,281
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,281
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,281
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,281
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,281
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,281
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,282
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,282
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,282
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,282
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,282
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,282
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,282
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,282
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,282
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,282
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,282
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,282
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,282
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,282
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,282
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,283
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,283
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,283
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,283
0.07100000232458115,-1693589722_FL,Phosphorus,Outflow,283
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,283
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,283
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,283
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,283
